#    E (eV)                   Eficiencia
  0.97162795157710624       0.34392194779926111     
  0.91727593538977992       0.35178780939316712     
  0.86596432336006535       0.35977514101076891     
  0.81752303794364978       0.36788270756790753     
  0.77179151558501236       0.37610907519729497     
  0.72861817451322775       0.38445260391716962     
  0.68785991230880783       0.39291144045192405     
  0.64938163157621132       0.40148351124661019     
  0.61305579214982053       0.41016651572003393     
  0.57876198834912063       0.41895791980393993     
  0.54638654988185431       0.42785494981856209     
  0.51582216507230583       0.43685458673749589     
  0.48696752516586311       0.44595356089747040     
  0.45972698853087202       0.45514834721105757     
  0.43401026364474377       0.46443516094268589     
  0.40973210981354152       0.47380995411042026     
  0.38681205463305229       0.48326841257783482     
  0.36517412725483772       0.49280595390186621     
  0.34474660657314926       0.50241772600375545     
  0.32546178349804583       0.51209860673101026     
  0.30725573652674470       0.52184320437868648     
  0.29006811986931547       0.53164585923814722     
  0.27384196342643613       0.54150064624076522     
  0.25852348395621899       0.55140137876269146     
  0.24406190680419801       0.56134161365480395     
  0.23040929760558460       0.57131465755919564     
  0.21752040340195233       0.58131357456999266     
  0.20535250264571461       0.59133119529188383     
  0.19386526359522066       0.60136012734441535     
  0.18302061063110558       0.61139276735383374     
  0.17278259805078636       0.62142131446697069     
  0.16311729092278388       0.63143778541339146     
  0.15399265260594919       0.64143403113265696     
  0.14537843856076613       0.65140175497315655     
  0.13724609610075619       0.66133253245750057     
  0.12956866975170195       0.67121783259695111     
  0.12232071190499319       0.68104904072385031     
  0.11547819846894582       0.69081748279653632     
  0.10901844923851273       0.70051445111586896     
  0.10292005271944281       0.71013123137633338     
   9.7162795157710632E-002  0.71965913095786149     
   9.1727593538977983E-002  0.72908950834712982     
   8.6596432336006529E-002  0.73841380355936814     
   8.1752303794364975E-002  0.74762356941377550     
   7.7179151558501233E-002  0.75671050349777047     
   7.2861817451322780E-002  0.76566648063767828     
   6.8785991230880777E-002  0.77448358567640763     
   6.4938163157621132E-002  0.78315414634242175     
   6.1305579214982052E-002  0.79167076597921193     
   5.7876198834912060E-002  0.80002635589083493     
   5.4638654988185424E-002  0.80821416704722171     
   5.1582216507230584E-002  0.81622782088323487     
   4.8696752516586311E-002  0.82406133891820055     
   4.5972698853087204E-002  0.83170917091818020     
   4.3401026364474377E-002  0.83916622132191554     
   4.0973210981354154E-002  0.84642787365346006     
   3.8681205463305231E-002  0.85349001265027247     
   3.6517412725483769E-002  0.86034904384521416     
   3.4474660657314929E-002  0.86700191035462792     
   3.2546178349804583E-002  0.87344610664260747     
   3.0725573652674469E-002  0.87967968905371186     
   2.9006811986931547E-002  0.88570128293272909     
   2.7384196342643614E-002  0.89151008618049243     
   2.5852348395621901E-002  0.89710586912901413     
   2.4406190680419802E-002  0.90248897065698830     
   2.3040929760558458E-002  0.90766029050762120     
   2.1752040340195233E-002  0.91262127781426028     
   2.0535250264571460E-002  0.91737391588479733     
   1.9386526359522066E-002  0.92192070334261378     
   1.8302061063110560E-002  0.92626463176912732     
   1.7278259805078636E-002  0.93040916003994678     
   1.6311729092278387E-002  0.93435818559231398     
   1.5399265260594919E-002  0.93811601290499480     
   1.4537843856076614E-002  0.94168731951209128     
   1.3724609610075619E-002  0.94507711990846632     
   1.2956866975170196E-002  0.94829072773568446     
   1.2232071190499320E-002  0.95133371666275501     
   1.1547819846894581E-002  0.95421188039477556     
   1.0901844923851272E-002  0.95693119225420464     
   1.0292005271944281E-002  0.95949776478348692     
   9.7162795157710573E-003  0.96191780981381858     
   9.1727593538978025E-003  0.96419759943288663     
   8.6596432336006543E-003  0.96634342826455266     
   8.1752303794364930E-003  0.96836157744599816     
   7.7179151558501276E-003  0.97025828065335484     
   7.2861817451322745E-003  0.97203969248603128     
   6.8785991230880814E-003  0.97371185947376560     
   6.4938163157621130E-003  0.97528069391996763     
   6.1305579214982024E-003  0.97675195074139876     
   5.7876198834912089E-003  0.97813120740899506     
   5.4638654988185395E-003  0.97942384703906471     
   5.1582216507230607E-003  0.98063504462955309     
   4.8696752516586310E-003  0.98176975638394581     
   4.5972698853087180E-003  0.98283271201690325     
   4.3401026364474401E-003  0.98382840989204656     
   4.0973210981354131E-003  0.98476111480438255     
   3.8681205463305247E-003  0.98563485818841690     
   3.6517412725483771E-003  0.98645344050858808     
   3.4474660657314912E-003  0.98722043557151284     
   3.2546178349804602E-003  0.98793919648970752     
   3.0725573652674453E-003  0.98861286302369578     
   2.9006811986931561E-003  0.98924437003330401     
   2.7384196342643613E-003  0.98983645677881749     
   2.5852348395621885E-003  0.99039167682772633     
   2.4406190680419811E-003  0.99091240834209859     
   2.3040929760558449E-003  0.99140086454417209     
   2.1752040340195246E-003  0.99185910418253764     
   2.0535250264571460E-003  0.99228904184726918     
   1.9386526359522057E-003  0.99269245800860229     
   1.8302061063110568E-003  0.99307100867940390     
   1.7278259805078627E-003  0.99342623462599300     
   1.6311729092278397E-003  0.99375957007425875     
   1.5399265260594920E-003  0.99407235087805923     
   1.4537843856076607E-003  0.99436582213427427     
   1.3724609610075626E-003  0.99464114524349734     
   1.2956866975170189E-003  0.99489940442718228     
   1.2232071190499325E-003  0.99514161272121693     
   1.1547819846894581E-003  0.99536871747257860     
